Waterbody,Town,Advisory Posted,Advisory Lifted
Indian Lake,South Kingstown,11/20/2023,12/22/2023
J.L. Curran Upper Reservoir,Cranston,11/3/2023,
Tiogue Lake (Briar Point Beach),Coventry,11/3/2023,12/5/2023
Worden Pond ,South Kingston,11/3/2023,11/17/2023
Carbuncle Pond,Coventry,10/12/2023,11/28/2023
Little Pond ,Warwick,10/6/2023,12/22/2023
Mashapaug Pond,Cranston ,10/6/2023,
Spectacle Pond,Cranston,10/6/2023,
Lower Melville Pond,Portsmouth,9/21/2023,11/28/2023
Waterman Reservoir ,Glocester/Greenville,9/7/2023,12/22/2023
Slack Reservoir ,Greenville,9/5/2023,11/14/2023
Coomer Lake ,Glocester,8/18/2023,9/29/2023
Roger Williams Park Ponds,Providence,8/18/2023,
Tiogue Lake (Cove Between Harrington Dr and Briar Point Ave),Coventry,8/18/2023,9/29/2023
J.L. Curran Upper Reservoir,Cranston,8/15/2023,9/8/2023
Spectacle Pond,Cranston,7/28/2023,8/25/2023
Wenscott Reservoir ,North Providence,7/28/2023,11/14/2023
Blackamore Pond,Cranston,7/14/2023,12/22/2023
Georgiaville Pond,Smithfield,7/14/2023,9/29/2023
Boone Lake,Exeter,7/11/2023,8/1/2023
Slack Reservoir ,Greenville,7/11/2023,8/1/2023
Upper Melville Pond (Thurtson Gray),Portsmouth,7/11/2023,11/28/2023
Tiogue Lake ,Coventry,6/13/2023,6/29/2023
Almy Pond,Newport,6/5/2023,
Stafford Pond (Boat Ramp),Tiverton,10/18/2022,11/16/2022
Georgiaville Pond,Smithfield,10/14/2022,12/2/2022
Slack Reservoir,Smithfield/Johnston,10/14/2022,11/16/2022
J.L. Curran Upper Reservoir,Cranston,9/21/2022,12/29/2022
Blackamore Pond,Cranston,9/2/2022,12/2/2022
Spring Lake,Burrillville,8/26/2022,9/9/2022
Larkin Pond,South Kingstown,8/5/2022,12/2/2022
Wenscott Reservoir,North Providence,8/5/2022,12/29/2022
Johnsons Pond (Flat River Reservoir),Coventry,7/29/2022,10/31/2022
Edgewood Lake -Roger Williams Park ,Providence,7/22/2022,12/29/2022
Mashapaug Pond,Cranston,7/22/2022,12/29/2022
Pleasure Lake - Roger Williams Park ,Providence,7/22/2022,12/29/2022
Polo Lake - Roger Williams Park ,Providence,7/22/2022,
Roosevelt Pond - Roger Williams Park ,Providence,7/22/2022,
Willow Lake - Roger Williams Park,Providence,7/22/2022,
Cunliff Lake - Roger Williams Park ,Providence,7/15/2022,12/29/2022
Elm Lake - Roger Williams Park ,Providence,7/8/2022,12/29/2022
Lower Melville Pond,Portsmouth,7/7/2022,12/15/2022
Roosevelt Pond,Providence,6/27/2022,7/15/2022
Tiogue Lake,Coventry,6/27/2022,7/15/2022
Turner Reservoir,East Providence ,6/24/2022,7/15/2022
Upper Melville Pond,Portsmouth,6/24/2022,12/15/2022
Almy Pond,Newpor,6/10/2022,12/15/2022
Roger Williams Park Ponds,Providence,10/8/2021,12/21/2021
Warwick Pond,Warwick,10/7/2021,12/7/2021
Worden Pond,South Kingstown,9/30/2021,11/19/2021
Flat River Reservoir (Johnson’s Pond),Coventry,9/20/2021,12/7/2021
Brickyard Pond,Barrington,9/3/2021,9/30/2021
Briar Point Beach on Tiogue Lake,Coventry,8/19/2021,9/17/2021
Camp Hoffman at Larkin Pond,South Kingstown,8/12/2021,9/3/2021
Sachem Pond,Block Island,8/6/2021,11/19/2021
Slack Reservoir,Smithfield/Johnston,8/6/2021,11/19/2021
Wenscott Reservoir,North Providence,8/6/2021,12/7/2021
Warwick Pond,Warwick,7/23/2021,9/3/2021
Lower Melville Pond,Portsmouth,7/16/2021,12/21/2021
Upper Melville Pond,Portsmouth,7/16/2021,12/21/2021
Blackamore Pond,Cranston,7/13/2021,
Mashapaug Pond,Providence,7/13/2021,12/7/2021
Spectacle Pond,Cranston,7/13/2021,12/21/2021
Upper J.L. Curran Reservoir,Cranston,7/13/2021,8/19/2021
Georgiaville Pond,Smithfield ,6/28/2021,8/6/2021
Almy Pond,Newport,6/12/2021,
Lower Melville Pond,Portsmouth ,10/22/2020,12/31/2020
Wenscott Reservoir,North Providence,10/19/2020,12/7/2020
Polo Lake - Roger Williams Park,Providence,10/9/2020,12/7/2020
Roosevelt Lake - Roger Williams Park,Providence,10/9/2020,12/31/2020
Mashapaug Pond,Providence,9/28/2020,12/31/2020
Edgewood Lake - Roger Williams Park,Providence,9/25/2020,12/7/2020
Pleasure Lake - Roger Williams Park,Providence,9/25/2020,12/7/2020
Elm Lake,Providence,9/10/2020,12/7/2020
Spectacle Pond,Cranston,9/10/2020,12/7/2020
Barber Pond,South Kingstown,9/4/2020,11/25/2020
