Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location,
WW01,4/29/2012,13:00,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Alton Pond,
WW01,4/29/2012,13:00,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.45,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,4/29/2012,13:00,,,,Secchi Depth - 00069,2.26,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,4/29/2012,13:00,Grab,Water,0.2,Temperature - 00011,14.7,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,4/29/2012,13:00,Grab,Water,1,Temperature - 00011,15.1,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,5/6/2012,13:30,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.6,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,5/6/2012,13:30,,,,Secchi Depth - 00069,2.41,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,5/6/2012,13:30,Grab,Water,0.2,Temperature - 00011,14.8,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,5/6/2012,13:30,Grab,Water,1,Temperature - 00011,15.3,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,5/12/2012,11:22,Grab,Water,1,Alkalinity - 00410,3.5,mg/l,,0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Alton Pond,
WW01,5/12/2012,11:22,Grab,Water,1,Chloride - 00940,15,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Alton Pond,
WW01,5/12/2012,11:22,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Alton Pond,
WW01,5/12/2012,11:22,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.45,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,5/12/2012,11:22,Grab,Water,0.5,Enterococci - 31639,44,MPN/100ml,,1,MPN/100ml,2,MPN/100ml,URIWW,,,Alton Pond,
