Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW218,01/03/2014,15:10,Grab,Water,0.2,Dissolved Oxygen - 00300,,mg/l,N,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Storm event - D.O. not run,Buckeye Brook @ Novelty Rd
WW218,01/03/2014,15:10,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",1,mg/l,,1,mg/l,1,mg/l,URIWW,,Storm event.,Buckeye Brook @ Novelty Rd
WW218,01/03/2014,15:10,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",2,mg/l,,2,mg/l,2,mg/l,URIWW,,Storm event.,Buckeye Brook @ Novelty Rd
WW218,01/03/2014,15:10,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",230,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Novelty Rd
WW218,01/03/2014,15:10,Grab,Water,0.2,Temperature - 00011,-0.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Novelty Rd
WW218,01/03/2014,15:10,Grab,Air,,Temperature - 00011,-8.5,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Novelty Rd
WW536,01/03/2014,11:30,Grab,Water,0.4,Dissolved Oxygen - 00300,,mg/l,N,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Storm event - D.O. not run,Spring Green Pond at Warwick Ave.
WW536,01/03/2014,11:30,Grab,Water,0.4,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,,Spring Green Pond at Warwick Ave.
WW536,01/03/2014,11:30,Grab,Water,0.4,"Propylene Glycol, water, unfiltered, recoverable - 91080",0,mg/l,U,2,mg/l,2,mg/l,URIWW,,,Spring Green Pond at Warwick Ave.
WW536,01/03/2014,11:30,Grab,Water,0.4,"Solids, Total Dissolved (Electrical Conductivity) - 47004",160,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Spring Green Pond at Warwick Ave.
WW536,01/03/2014,11:30,Grab,Water,0.4,Temperature - 00011,-1,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Spring Green Pond at Warwick Ave.
WW536,01/03/2014,11:30,Grab,Air,,Temperature - 00011,-2,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Spring Green Pond at Warwick Ave.
WW221,01/04/2014,11:50,Grab,Water,0.4,Dissolved Oxygen - 00300,,mg/l,N,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Storm event - D.O. not run,Buckeye Brook @ Mill Cove
WW221,01/04/2014,11:50,Grab,Water,0.4,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,,Buckeye Brook @ Mill Cove
WW221,01/04/2014,11:50,Grab,Water,0.4,"Propylene Glycol, water, unfiltered, recoverable - 91080",0,mg/l,U,2,mg/l,2,mg/l,URIWW,,,Buckeye Brook @ Mill Cove
WW221,01/04/2014,11:50,Grab,Water,0.4,"Solids, Total Dissolved (Electrical Conductivity) - 47004",1990,mg/l,Z,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,Exceeds meter's upper range,Buckeye Brook @ Mill Cove
WW221,01/04/2014,11:50,Grab,Water,0.4,Temperature - 00011,-1.4,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Mill Cove
WW221,01/04/2014,11:50,Grab,Air,,Temperature - 00011,-3.3,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Mill Cove
WW359,01/04/2014,15:00,Grab,Water,0.2,Dissolved Oxygen - 00300,,mg/l,N,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Storm event - D.O. not run,Buckeye Brook @ Old Warwick Ave
WW359,01/04/2014,15:00,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",1,mg/l,,1,mg/l,1,mg/l,URIWW,,Stream depth = 1 ft. 3 in.,Buckeye Brook @ Old Warwick Ave
WW359,01/04/2014,15:00,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",2,mg/l,,2,mg/l,2,mg/l,URIWW,,Stream depth = 1 ft. 3 in.,Buckeye Brook @ Old Warwick Ave
WW359,01/04/2014,15:00,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",297,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Old Warwick Ave
WW359,01/04/2014,15:00,Grab,Water,0.2,Temperature - 00011,-0.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Old Warwick Ave
WW359,01/04/2014,15:00,Grab,Air,,Temperature - 00011,-5,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Old Warwick Ave
WW539,01/04/2014,9:15,Grab,Water,0.2,Dissolved Oxygen - 00300,,mg/l,N,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,Storm event - D.O. not run,Buckeye Brook @ Old Catch Basin
WW539,01/04/2014,9:15,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,Storm event.,Buckeye Brook @ Old Catch Basin
WW539,01/04/2014,9:15,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",0,mg/l,U,2,mg/l,2,mg/l,URIWW,,Storm event.,Buckeye Brook @ Old Catch Basin
WW539,01/04/2014,9:15,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",100,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Old Catch Basin
WW539,01/04/2014,9:15,Grab,Air,,Temperature - 00011,,C,N,-35,C,-35,C,URIWW,170.1: Temperature,Not reported,Buckeye Brook @ Old Catch Basin
WW539,01/04/2014,9:15,Grab,Water,0.2,Temperature - 00011,-0.6,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Old Catch Basin
WW218,01/09/2014,,Grab,Water,0.2,Chloride - 00940,54,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Buckeye Brook @ Novelty Rd
WW218,01/09/2014,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.577,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Novelty Rd
WW218,01/09/2014,,Grab,Water,0.2,pH - 00400,6.9,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,Buckeye Brook @ Novelty Rd
WW218,01/09/2014,,Replicate,Water,0.2,pH - 00400,6.9,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,Buckeye Brook @ Novelty Rd
WW218,01/09/2014,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",8,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Novelty Rd
WW221,01/09/2014,,Grab,Water,0.4,"Nitrate + Nitrite, Dissolved - 00631",1.536,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Mill Cove
WW221,01/09/2014,,Grab,Water,0.4,pH - 00400,6.8,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,Buckeye Brook @ Mill Cove
WW221,01/09/2014,,Grab,Water,0.4,"Phosphorus, Dissolved - 00666",6,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Mill Cove
WW359,01/09/2014,,Grab,Water,0.2,Chloride - 00940,59,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Buckeye Brook @ Old Warwick Ave
WW359,01/09/2014,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.565,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Old Warwick Ave
WW359,01/09/2014,,Grab,Water,0.2,pH - 00400,6.9,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,Buckeye Brook @ Old Warwick Ave
WW359,01/09/2014,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",4,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Old Warwick Ave
WW536,01/09/2014,,Grab,Water,,"Nitrate + Nitrite, Dissolved - 00631",,mg/l,N,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,Frozen - no sample,Spring Green Pond at Warwick Ave.
WW536,01/09/2014,,Grab,Water,,pH - 00400,,S.U.,N,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,Frozen - no sample,Spring Green Pond at Warwick Ave.
WW536,01/09/2014,,Grab,Water,,"Phosphorus, Dissolved - 00666",,ug/l,N,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,Frozen - no sample,Spring Green Pond at Warwick Ave.
WW538,01/09/2014,,Grab,Water,0.2,Chloride - 00940,61,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/09/2014,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.899,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/09/2014,,Grab,Water,0.2,pH - 00400,6.7,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,Buckeye Brook @ Lakeshore Dr (culvert)
WW538,01/09/2014,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",42,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Lakeshore Dr (culvert)
WW539,01/09/2014,,Grab,Water,,"Nitrate + Nitrite, Dissolved - 00631",,mg/l,N,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,Frozen - no sample,Buckeye Brook @ Old Catch Basin
WW539,01/09/2014,,Grab,Water,,pH - 00400,,S.U.,N,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,Frozen - no sample,Buckeye Brook @ Old Catch Basin
WW539,01/09/2014,,Grab,Water,,"Phosphorus, Dissolved - 00666",,ug/l,N,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,Frozen - no sample,Buckeye Brook @ Old Catch Basin
WW218,01/11/2014,,Grab,Water,0.2,Chloride - 00940,100,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,8:15,Grab,Water,0.2,Dissolved Oxygen - 00300,10.9,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,#2 code,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,8:15,Grab,Water,0.2,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0.25,mg/l,U,1,mg/l,1,mg/l,URIWW,,#2 code,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.64,mg/l,,0.005,mg/l,0.005,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,,Grab,Water,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.440,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",2,ug/l,U,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,8:15,Grab,Water,0.2,"Propylene Glycol, water, unfiltered, recoverable - 91080",0.5,mg/l,U,2,mg/l,2,mg/l,URIWW,,#2 code,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,8:15,Grab,Water,0.2,"Solids, Total Dissolved (Electrical Conductivity) - 47004",330,mg/l,,10,mg/l,10,mg/l,URIWW,C-006-1: Total Dissolved Solids in Water,,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,8:15,Grab,Water,0.2,Temperature - 00011,1.1,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,Buckeye Brook @ Novelty Rd
WW218,01/11/2014,8:15,Grab,Air,,Temperature - 00011,8,C,,-35,C,-35,C,URIWW,170.1: Temperature,,Buckeye Brook @ Novelty Rd
WW221,01/11/2014,10:35,Grab,Water,0.4,Dissolved Oxygen - 00300,9.4,mg/l,,0,mg/l,0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Buckeye Brook @ Mill Cove
WW221,01/11/2014,10:35,Grab,Water,0.4,"Ethylene Glycol, water, unfiltered, recoverable - 91075",0,mg/l,U,1,mg/l,1,mg/l,URIWW,,,Buckeye Brook @ Mill Cove
