Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location,
WW01,05/07/2011,13:50,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Digital,Alton Pond,
WW01,05/07/2011,13:50,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.9,m,,0,m,0.1,m,,,,Alton Pond,
WW01,05/07/2011,13:50,,,,Secchi Depth - 00069,2.4,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,05/07/2011,13:50,Grab,Water,0.2,Temperature - 00011,16.5,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,05/07/2011,13:50,Grab,Water,1,Temperature - 00011,17,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,05/15/2011,12:38,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,,0,m,0.1,m,,,,Alton Pond,
WW01,05/15/2011,12:38,,,,Secchi Depth - 00069,2.5,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,05/15/2011,12:38,Grab,Water,0.2,Temperature - 00011,17,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,05/15/2011,12:38,Grab,Water,1,Temperature - 00011,17,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,Alkalinity - 00410,,mg/l,N,0.2,mg/l,0.2,mg/l,URIWW,2320: Alkalinity in Water by Titration,Lab error - new meter not functioning properly,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,Chloride - 00940,19,mg/l,,1,mg/l,1,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Digital,Alton Pond,
WW01,05/21/2011,12:00,,,,"Depth to bottom from water surface at sampling location, meters - 82903",3.5,m,,0,m,0.1,m,,,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,0.5,Enterococci - 31639,37.9,MPN/100ml,,1,MPN/100ml,1,MPN/100ml,URIWW,,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.11,mg/l,,0.01,mg/l,0.01,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.450,mg/l,,0.03,mg/l,0.03,mg/l,URIWW,,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,pH - 00400,,S.U.,N,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,Lab error - new meter not functioning properly,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,"Phosphorus, Dissolved - 00666",10,ug/l,,3,ug/l,3,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,1,"Phosphorus, Total - 00665",16,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Alton Pond,
WW01,05/21/2011,12:00,,,,Secchi Depth - 00069,1.8,m,,0.1,m,0.1,m,,,,Alton Pond,
WW01,05/21/2011,12:00,Grab,Water,0.2,Temperature - 00011,18.0,C,,0,C,0,C,URIWW,2550: Temperature of Water by Thermometer,,Alton Pond,
