Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location,Unnamed: 18
WW143,6/4/2013,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",8.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Scott Pond,
WW143,6/6/2013, 1:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",8.9,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/6/2013, 1:30:00 PM,Composite,Water,,Secchi Depth - 00069,3.64,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/20/2013,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",28.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Scott Pond,
WW143,6/20/2013, 1:45:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",11.9,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/20/2013, 1:45:00 PM,Grab,Water,11.0,Dissolved Oxygen - 00300,0.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Scott Pond,
WW143,6/20/2013, 1:45:00 PM,Grab,Water,1.0,Dissolved Oxygen - 00300,2.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Scott Pond,
WW143,6/20/2013, 1:45:00 PM,Composite,Water,,Secchi Depth - 00069,2.15,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/20/2013, 1:45:00 PM,Grab,Water,11.0,Temperature - 00011,11.5,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,6/20/2013, 1:45:00 PM,Grab,Water,1.0,Temperature - 00011,22.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,6/20/2013, 1:45:00 PM,Grab,Water,0.1,Temperature - 00011,24.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,Alkalinity - 00410,26.4,mg/l,,0.0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,Chloride - 00940,40.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Scott Pond,
WW143,6/21/2013,,Grab,Water,11.5,Chloride - 00940,83.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Scott Pond,
WW143,6/21/2013, 12:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",14.25,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/21/2013, 12:00:00 PM,Grab,Water,11.5,Dissolved Oxygen - 00300,1.4,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Scott Pond,
WW143,6/21/2013, 12:00:00 PM,Grab,Water,1.0,Dissolved Oxygen - 00300,11.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Scott Pond,
WW143,6/21/2013,,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100ml,U,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,Scott Pond,
WW143,6/21/2013,,Grab,Water,11.5,"Nitrate + Nitrite, Dissolved - 00631",0.1,mg/l,,0.005,mg/l,0.005,ug/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.13,mg/l,,0.005,mg/l,0.005,ug/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.045,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Scott Pond,
WW143,6/21/2013,,Grab,Water,11.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.895,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.74,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,Scott Pond,
WW143,6/21/2013,,Grab,Water,11.5,"Nitrogen, Total (unfiltered) - 00600",3.025,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,Scott Pond,
WW143,6/21/2013,,Grab,Water,11.5,pH - 00400,8.9,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,pH - 00400,9.3,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",7.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Scott Pond,
WW143,6/21/2013,,Grab,Water,11.5,"Phosphorus, Dissolved - 00666",148.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Scott Pond,
WW143,6/21/2013,,Grab,Water,1.0,"Phosphorus, Total - 00665",24.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Scott Pond,
WW143,6/21/2013,,Grab,Water,11.5,"Phosphorus, Total - 00665",221.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Scott Pond,
WW143,6/21/2013, 12:00:00 PM,Composite,Water,,Secchi Depth - 00069,2.01,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/27/2013,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",21.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Scott Pond,
WW143,6/27/2013, 12:05:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",12.1,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/27/2013, 12:05:00 PM,Grab,Water,12.1,Dissolved Oxygen - 00300,0.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Scott Pond,
WW143,6/27/2013, 12:05:00 PM,Grab,Water,1.0,Dissolved Oxygen - 00300,4.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Scott Pond,
WW143,6/27/2013, 12:05:00 PM,Composite,Water,,Secchi Depth - 00069,2.28,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,6/27/2013, 12:05:00 PM,Grab,Water,12.1,Temperature - 00011,14.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,6/27/2013, 12:05:00 PM,Grab,Water,1.0,Temperature - 00011,22.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,6/27/2013, 12:05:00 PM,Grab,Water,0.1,Temperature - 00011,26.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,7/14/2013,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",25.0,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Scott Pond,
WW143,7/14/2013, 12:15:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",12.6,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,7/14/2013, 12:15:00 PM,Grab,Water,1.0,Dissolved Oxygen - 00300,12.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Scott Pond,
WW143,7/14/2013, 12:15:00 PM,Composite,Water,,Secchi Depth - 00069,2.19,m,,0.1,m,0.1,m,,,,Scott Pond,
WW143,7/14/2013, 12:15:00 PM,Grab,Water,1.0,Temperature - 00011,27.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,7/14/2013, 12:15:00 PM,Grab,Water,0.1,Temperature - 00011,28.0,C,,0.0,C,0.0,C,URIWW,2550: Temperature of Water by Thermometer,,Scott Pond,
WW143,7/27/2013,,Grab,Water,1.0,Alkalinity - 00410,26.6,mg/l,,0.0,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Scott Pond,
WW143,7/27/2013,,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.005,mg/l,,0.005,mg/l,0.005,ug/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,Scott Pond,
WW143,7/27/2013,,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.025,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,Scott Pond,
WW143,7/27/2013,,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.575,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,Scott Pond,
WW143,7/27/2013,,Grab,Water,1.0,pH - 00400,8.5,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,Scott Pond,
WW143,7/27/2013,,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",1.5,ug/l,U,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Scott Pond,
WW143,7/27/2013,,Grab,Water,1.0,"Phosphorus, Total - 00665",27.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,Scott Pond,
WW143,8/7/2013,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",28.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Scott Pond,
