Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW99,5/8/2015,,Grab,Water,0.2,Enterococci - 31639,30,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,5/8/2015,,Grab,Water,0.2,Fecal Coliform - 74055,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,5/8/2015,,Grab,Water,0.3,"Nitrate + Nitrite, Dissolved - 00631",3.2,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 11 - Mettatuxet Brook
WW99,5/8/2015,,Grab,Water,0.3,"Nitrogen, Ammonia Dissolved as N - 00608",0.06,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 11 - Mettatuxet Brook
WW99,5/8/2015,,Grab,Water,0.3,"Nitrogen, Total (unfiltered) - 00600",3.35,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,5/8/2015,,Grab,Water,0.3,pH - 00400,6.5,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 11 - Mettatuxet Brook
WW99,5/8/2015,,Grab,Water ,0.3,"Phosphorus, Dissolved - 00666",4,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 11 - Mettatuxet Brook
WW99,5/8/2015,,Grab,Water,0.3,"Phosphorus, Total - 00665",13,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,5/26/2015,,Grab,Water,0.2,Enterococci - 31639,122.4,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,5/26/2015,,Grab,Water,0.2,Fecal Coliform - 74055,0.4,MPN/100ml,U,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water,0.2,Enterococci - 31639,146,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water,0.2,Fecal Coliform - 74055,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water,0.3,"Nitrate + Nitrite, Dissolved - 00631",2.915,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water,0.3,"Nitrogen, Ammonia Dissolved as N - 00608",0.06,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water,0.3,"Nitrogen, Total (unfiltered) - 00600",3.15,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water,0.2,pH - 00400,7.3,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water ,0.3,"Phosphorus, Dissolved - 00666",16,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 11 - Mettatuxet Brook
WW99,6/19/2015,,Grab,Water,0.3,"Phosphorus, Total - 00665",30,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,7/1/2015,,Grab,Water,0.2,Enterococci - 31639,10,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,7/1/2015,,Grab,Water,0.2,Fecal Coliform - 74055,1,MPN/100ml,U,10,MPN/100ml,10,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,7/8/2015,,Grab,Water,0.2,Enterococci - 31639,334.4,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,7/8/2015,,Grab,Water,0.2,Fecal Coliform - 74055,127.2,MPN/100ml,,4,MPN/100ml,4,MPN/100ml,URIWW,,,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water,0.2,Enterococci - 31639,379,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,Run on 7/18/2015,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water,0.2,Fecal Coliform - 74055,20,MPN/100ml,,10,MPN/100ml,10,MPN/100ml,URIWW,,Run on 7/18/2015,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water,0.3,"Nitrate + Nitrite, Dissolved - 00631",3.405,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water,0.3,"Nitrogen, Ammonia Dissolved as N - 00608",0.105,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water,0.3,"Nitrogen, Total (unfiltered) - 00600",3.795,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water,0.2,pH - 00400,6.7,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water ,0.3,"Phosphorus, Dissolved - 00666",18,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,NR 11 - Mettatuxet Brook
WW99,7/17/2015,,Grab,Water,0.3,"Phosphorus, Total - 00665",77,ug/l,,4,ug/l,4,ug/l,URIWW,,,NR 11 - Mettatuxet Brook
