Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Comments,Location
WW145,6/1/2015,10:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,Normal,Stafford Pond
WW145,6/1/2015,10:00:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,8.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond
WW145,6/1/2015,10:00:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,6.3,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond
WW145,6/1/2015,10:00:00 AM,Composite,Water,,Secchi Depth - 00069,3.43,m,,0.1,m,0.1,m,,,,Stafford Pond
WW145,6/1/2015,10:00:00 AM,Grab,Water,0.1,Temperature - 00011,19.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,6/1/2015,10:00:00 AM,Grab,Water,1.0,Temperature - 00011,19.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,6/1/2015,10:00:00 AM,Grab,Water,6.0,Temperature - 00011,18.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,6/6/2015,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Stafford Pond
WW145,6/13/2015,9:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,Normal,Stafford Pond
WW145,6/13/2015,9:30:00 AM,Composite,Water,,Secchi Depth - 00069,3.75,m,,0.1,m,0.1,m,,,,Stafford Pond
WW145,6/13/2015,9:30:00 AM,Grab,Water,0.1,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,6/13/2015,9:30:00 AM,Grab,Water,1.0,Temperature - 00011,23.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,6/13/2015,9:30:00 AM,Grab,Water,6.0,Temperature - 00011,20.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,Stafford Pond
WW145,6/20/2015,,Grab,Water,1.0,Alkalinity - 00410,8.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,Stafford Pond
WW145,6/20/2015,,Grab,Water ,1.0,Chloride - 00940,29.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Stafford Pond
WW145,6/20/2015,,Grab,Water ,6.0,Chloride - 00940,26.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,Stafford Pond
WW145,6/20/2015,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",6.0,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,Trilogy,Stafford Pond
WW145,6/20/2015,9:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.2,m,,0.1,m,0.1,m,,,Normal,Stafford Pond
WW145,6/20/2015,9:30:00 AM,Grab,Water,1.0,Dissolved Oxygen - 00300,7.8,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond
WW145,6/20/2015,9:30:00 AM,Grab,Water,6.0,Dissolved Oxygen - 00300,5.05,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,Stafford Pond
WW145,6/20/2015,,Grab,Water ,0.5,Enterococci - 31639,0.1,MPN/100ml,U,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,Stafford Pond
