Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,Watershed Code,Monitor 1,Monitor 2
WW01,05/13/2016,,Grab,Water,1,Alkalinity - 00410,5.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Alton Pond,WD,,
WW01,07/22/2016,,Grab,Water,1,Alkalinity - 00410,8.7,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Alton Pond,WD,,
WW01,10/21/2016,,Grab,Water,1,Alkalinity - 00410,8.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Alton Pond,WD,,
WW02,05/14/2016,,Grab,Water,1,Alkalinity - 00410,4.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Barber Pond,WD,,
WW02,06/07/2016,,Grab,Water,1,Alkalinity - 00410,26.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Barber Pond,WD,,
WW02,06/07/2016,,Replicate,Water,1,Alkalinity - 00410,37.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Barber Pond,WD,,
WW02,07/20/2016,,Grab,Water,1,Alkalinity - 00410,7.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Barber Pond,WD,,
WW02,08/23/2016,,Grab,Water,1,Alkalinity - 00410,7.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Barber Pond,WD,,
WW02,09/22/2016,,Grab,Water,1,Alkalinity - 00410,7.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Barber Pond,WD,,
WW03,05/14/2016,,Grab,Water,1,Alkalinity - 00410,18.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,A,,
WW03,07/21/2016,,Grab,Water,1,Alkalinity - 00410,22.7,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,A,,
WW03,10/22/2016,,Grab,Water,1,Alkalinity - 00410,18.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,A,,
WW03,10/22/2016,,Replicate,Water,1,Alkalinity - 00410,18.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,A,,
WW04,05/13/2016,,Grab,Water,0.5,Alkalinity - 00410,18.8,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Upper,A,,
WW04,06/10/2016,,Grab,Water,0.5,Alkalinity - 00410,19.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Upper,A,,
WW04,07/22/2016,,Grab,Water,0.5,Alkalinity - 00410,22.7,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Upper,A,,
WW04,08/26/2016,,Grab,Water,0.5,Alkalinity - 00410,25.5,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Upper,A,,
WW04,09/23/2016,,Grab,Water,0.5,Alkalinity - 00410,18.0,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Upper,A,,
WW04,10/20/2016,,Grab,Water,0.5,Alkalinity - 00410,15.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Upper,A,,
WW05,06/10/2016,,Grab,Water,1,Alkalinity - 00410,26.3,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,PA,,
WW05,07/23/2016,,Grab,Water,1,Alkalinity - 00410,33.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,PA,,
WW05,10/22/2016,,Grab,Water,1,Alkalinity - 00410,37.5,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,PA,,
WW06,05/12/2016,,Grab,Water,1,Alkalinity - 00410,4.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,WD,,
WW06,07/23/2016,,Grab,Water,1,Alkalinity - 00410,7.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,WD,,
WW06,07/23/2016,,Replicate,Water,1,Alkalinity - 00410,9.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,WD,,
WW06,08/26/2016,,Grab,Water,1,Alkalinity - 00410,40.8,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,WD,,
WW06,09/23/2016,,Grab,Water,1,Alkalinity - 00410,8.4,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,WD,,
WW06,10/21/2016,,Grab,Water,1,Alkalinity - 00410,8.0,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Boone Lake,WD,,
WW08,05/19/2016,,Grab,Water,1,Alkalinity - 00410,13.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Carr Pond (NK),PE,,
WW08,07/21/2016,,Grab,Water,1,Alkalinity - 00410,19.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Carr Pond (NK),PE,,
