Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,Watershed Code,Monitor 1,Monitor 2
WW145,06/11/2016,,Grab,Water,1.0,Alkalinity - 00410,7.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,1.0,Alkalinity - 00410,7.7,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Stafford Pond,TA,,
WW145,07/23/2016,,Replicate,Water,1.0,Alkalinity - 00410,7.7,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,1.0,Alkalinity - 00410,10.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,1.0,Alkalinity - 00410,8.7,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Stafford Pond,TA,,
WW199,05/14/2016,,Grab,Water,0.5,Alkalinity - 00410,55.4,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Almy Pond,CC,,
WW199,07/23/2016,,Grab,Water,0.5,Alkalinity - 00410,85.1,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Almy Pond,CC,,
WW145,06/11/2016,,Grab,Water,1.0,Chloride - 00940,28.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Stafford Pond,TA,,
WW145,06/11/2016,,Grab,Water,6.2,Chloride - 00940,32.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,1.0,Chloride - 00940,32.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Grab,Water,5.9,Chloride - 00940,32.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Stafford Pond,TA,,
WW145,10/22/2016,,Duplicate,Water,5.9,Chloride - 00940,32.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Stafford Pond,TA,,
WW199,05/14/2016,,Grab,Water,0.5,Chloride - 00940,116.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Almy Pond,CC,,
WW145,05/29/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,06/11/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,07/04/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",4.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,07/10/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,07/23/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",11.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,07/30/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",16.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,08/14/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,08/27/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",25.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,09/10/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",91.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,10/02/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",41.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW145,10/21/2016,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",15.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,TA,,
WW199,06/11/2016,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",108.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Almy Pond,CC,,
WW199,06/25/2016,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",115.1,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Almy Pond,CC,,
WW199,08/06/2016,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",139.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Almy Pond,CC,,
WW199,08/20/2016,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",90.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Almy Pond,CC,,
WW199,10/08/2016,,Grab,Water,0.5,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",53.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Almy Pond,CC,,
WW145,05/28/2016,11:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,06/04/2016,2:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.2,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,06/11/2016,9:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.3,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,06/18/2016,1:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/04/2016,12:30:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",7.0,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/10/2016,11:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.6,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/17/2016,12:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.2,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/23/2016,9:45:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.4,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,07/30/2016,10:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.2,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,08/14/2016,12:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.0,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,08/27/2016,9:00:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.4,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
WW145,09/10/2016,10:30:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.0,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,TA,Ed Adamowski,
