WW ID,Date of Sample,Time,Sample Type,Sample Media,Depth,Parameter #,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Monitoring location,MONITOR 1,MONITOR 2,Watershed
WW145,6/10/2017,,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,Ed Adamowski,,TA
WW145,6/10/2017,11:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",7.1,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/10/2017,11:00,Grab,Water,1.0,Dissolved Oxygen - 00300,9.0,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/10/2017,11:00,Grab,Water,6.5,Dissolved Oxygen - 00300,8.05,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/10/2017,11:00,Composite,Water,,Secchi Depth - 00069,4.45,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/10/2017,11:00,Grab,Water,0.1,Temperature - 00011,19.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/10/2017,11:00,Grab,Water,1.0,Temperature - 00011,18.5,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/10/2017,11:00,Grab,Water,6.5,Temperature - 00011,17.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,Alkalinity - 00410,8.54,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,Chloride - 00940,28.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,6.2,Chloride - 00940,33.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,4500-CL-(E): Chloride in Water by Colorimetry- Automated Ferricyanide Method,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",6.5,m,,0.1,m,0.1,m,,,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,Dissolved Oxygen - 00300,8.2,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,6.2,Dissolved Oxygen - 00300,6.5,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Replicate,Water,0.5,Enterococci - 31639,1.0,MPN/100ml,,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,0.5,Enterococci - 31639,3.1,MPN/100ml,,1.0,MPN/100ml,1.0,MPN/100ml,URIWW,,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,6.2,"Nitrate + Nitrite, Dissolved - 00631",0.02,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.065,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,6.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.09,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.485,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,6.2,"Nitrogen, Total (unfiltered) - 00600",0.49,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,1.0,pH - 00400,6.74,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Stafford Pond,Ed Adamowski,,TA
WW145,6/18/2017,12:30,Grab,Water,6.2,pH - 00400,7.19,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Stafford Pond,Ed Adamowski,,TA
