WW ID,Date of Sample,Time,Sample Type,Sample Media,Depth,Parameter #,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Monitoring location,MONITOR 1,MONITOR 2,Watershed
WW03,5/5/2018,12:36 PM,Grab,Water,1,Alkalinity - 00410,19.2,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Replicate,Water,1,Alkalinity - 00410,17.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.5,Chloride - 00940,38,mg/l,,1,mg/l,1,mg/l,,,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9.3,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,Grandpree,,A
WW03,5/5/2018,12:36 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.4,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100,U,1,MPN/100,1,MPN/100,URIWW,,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.345,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.085,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",0.905,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,1,pH - 00400,7.2,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Replicate,Water,1,pH - 00400,6.8,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",10,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.5,"Phosphorus, Total - 00665",27,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Belleville Pond - Lower,,,A
WW03,5/5/2018,12:36 PM,Composite,Water,,Secchi Depth - 00069,1.73,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/5/2018,12:36 PM,Grab,Water,0.1,Temperature - 00011,20.3,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/5/2018,12:36 PM,Grab,Water,1,Temperature - 00011,20.6,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/13/2018,1:05 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.1,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/13/2018,1:05 PM,Composite,Water,,Secchi Depth - 00069,1.61,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/13/2018,1:05 PM,Grab,Water,0.1,Temperature - 00011,18.2,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/13/2018,1:05 PM,Grab,Water,1,Temperature - 00011,18,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/28/2018,2:55 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,Grandpree,,A
WW03,5/28/2018,2:55 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.25,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/28/2018,2:55 PM,Composite,Water,,Secchi Depth - 00069,2.08,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/28/2018,2:55 PM,Grab,Water,0.1,Temperature - 00011,21.1,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,5/28/2018,2:55 PM,Grab,Water,1,Temperature - 00011,19.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,6/3/2018,4:30 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.5,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,Grandpree,,A
WW03,6/3/2018,4:30 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.4,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,6/3/2018,4:30 PM,Composite,Water,,Secchi Depth - 00069,1.86,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,6/3/2018,4:30 PM,Grab,Water,0.1,Temperature - 00011,25.1,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,6/3/2018,4:30 PM,Grab,Water,1,Temperature - 00011,22.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,6/17/2018,10:50 AM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.4,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,Grandpree,,A
WW03,6/17/2018,10:50 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.25,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,6/17/2018,10:50 AM,Composite,Water,,Secchi Depth - 00069,2.25,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,6/17/2018,10:50 AM,Grab,Water,0.1,Temperature - 00011,24.1,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,6/17/2018,10:50 AM,Grab,Water,1,Temperature - 00011,23,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,6/22/2018,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,,,A
WW03,7/8/2018,5:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",7.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,,,A
WW03,7/8/2018,5:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.05,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,7/8/2018,5:00 PM,Composite,Water,,Secchi Depth - 00069,1.64,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,7/8/2018,5:00 PM,Grab,Water,0.1,Temperature - 00011,27.6,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,7/8/2018,5:00 PM,Grab,Water,1,Temperature - 00011,25.8,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,7/14/2018,10:00 AM,Grab,Water,1,Alkalinity - 00410,20.9,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,Grandpree,,A
WW03,7/14/2018,10:00 AM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.1,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,7/14/2018,10:00 AM,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100,U,1,MPN/100,1,MPN/100,URIWW,,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Replicate,Water,0.5,Enterococci - 31639,0.1,MPN/100,U,1,MPN/100,1,MPN/100,URIWW,,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.008,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.02,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",0.455,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Grab,Water,1,pH - 00400,7,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Grab,Water,1,"Phosphorus, Dissolved - 00666",6,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Grab,Water,1,"Phosphorus, Total - 00665",20,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Belleville Pond - Lower,,,A
WW03,7/14/2018,10:00 AM,Composite,Water,,Secchi Depth - 00069,2.1,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,7/14/2018,10:00 AM,Grab,Water,0.1,Temperature - 00011,25.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,7/14/2018,10:00 AM,Grab,Water,1,Temperature - 00011,24.8,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,8/18/2018,,Grab,Water,1,Alkalinity - 00410,20.6,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,0.5,Chloride - 00940,36,mg/l,,1,mg/l,1,mg/l,,,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Belleville Pond - Lower,Grandpree,,A
WW03,8/18/2018,,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.25,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,8/18/2018,,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100,U,1,MPN/100,1,MPN/100,URIWW,,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",0.008,mg/l,U,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",0.375,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,1,pH - 00400,6.8,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,1,"Phosphorus, Dissolved - 00666",6,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Grab,Water,1,"Phosphorus, Total - 00665",15,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Belleville Pond - Lower,,,A
WW03,8/18/2018,,Composite,Water,,Secchi Depth - 00069,2.25,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,8/18/2018,,Grab,Water,0.1,Temperature - 00011,,C,N,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,"Secchi on bottom, temp not reported",Belleville Pond - Lower,Grandpree,,A
WW03,9/8/2018,3:15 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.3,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,9/8/2018,3:15 PM,Composite,Water,,Secchi Depth - 00069,1.67,m,,0.1,m,0.1,m,,,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,9/8/2018,3:15 PM,Grab,Water,0.1,Temperature - 00011,22.8,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,9/8/2018,3:15 PM,Grab,Water,1,Temperature - 00011,22.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,9/16/2018,12:30 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.3,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,9/16/2018,12:30 PM,Composite,Water,,Secchi Depth - 00069,2.3,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,9/16/2018,12:30 PM,Grab,Water,0.1,Temperature - 00011,26.6,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,9/16/2018,12:30 PM,Grab,Water,1,Temperature - 00011,21.5,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW03,9/30/2018,3:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",2.2,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,9/30/2018,3:00 PM,Composite,Water,,Secchi Depth - 00069,2.2,m,,0.1,m,0.1,m,,,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,9/30/2018,3:00 PM,Grab,Water,0.1,Temperature - 00011,20.7,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,Secchi on bottom,Belleville Pond - Lower,Grandpree,,A
WW03,9/30/2018,3:00 PM,Grab,Water,1,Temperature - 00011,18.2,C,,-35,C,-35,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Belleville Pond - Lower,Grandpree,,A
WW105,5/4/2018,,Grab,Water,0.2,Chloride - 00940,37,mg/l,,1,mg/l,1,mg/l,,,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Grab,Water,0.2,Enterococci - 31639,31.8,MPN/100,,1,MPN/100,1,MPN/100,URIWW,,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Replicate,Water,0.2,Enterococci - 31639,35,MPN/100,,2,MPN/100,2,MPN/100,URIWW,,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",0.92,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Grab,Water,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Grab,Water,0.2,"Nitrogen, Total (unfiltered) - 00600",1.225,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Grab,Water,0.2,pH - 00400,7,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Replicate,Water,0.2,pH - 00400,7.1,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",31,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,5/4/2018,,Grab,Water,0.2,"Phosphorus, Total - 00665",51,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,Chloride - 00940,41,mg/l,,1,mg/l,1,mg/l,,,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,Enterococci - 31639,298.7,MPN/100,,1,MPN/100,1,MPN/100,URIWW,,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.535,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.06,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,"Nitrogen, Total (unfiltered) - 00600",1.845,mg/l,,0.02,mg/l,0.02,mg/l,URIWW,,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,pH - 00400,6.6,S.U.,,1,S.U.,1,S.U.,URIWW,4500-H: pH in Water,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,"Phosphorus, Dissolved - 00666",33,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Annaquatket - Belleville @ RR Xing,,,A
WW105,6/8/2018,8:30:00 AM,Grab,Water,0.2,"Phosphorus, Total - 00665",39,ug/l,,4,ug/l,4,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Annaquatket - Belleville @ RR Xing,,,A
