Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Location,MONITOR 1,MONITOR 2,Watershed,Watershed Code
WW005,5/11/2019,1:00:00 PM,Grab,Water,1,Alkalinity - 00410,29.4,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,1:00:00 PM,Grab,Water,1,Chloride - 00940,125.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,1:00:00 PM,Grab,Water,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",3.1,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,1:00:00 PM,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.4,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,12:30:00 PM,Grab,Water,0.5,Enterococci - 31639,0.1,MPN/100,U,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,12:30:00 PM,Replicate,Water,0.5,Enterococci - 31639,1.0,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,12:30:00 PM,Grab,Water,1,"Nitrate + Nitrite, Dissolved - 00631",1.11,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,12:30:00 PM,Grab,Water,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.22,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,12:30:00 PM,Grab,Water,1,"Nitrogen, Total (unfiltered) - 00600",1.69,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
WW005,5/11/2019,12:30:00 PM,Grab,Water,1,pH - 00400,6.8,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Blackamore Pond,R. Chateauneuf,,Pawtuxet River,PA
