Station Name,Date,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Quantitation Level,Quantitation Level Unit,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Monitoring location,MONITOR 1,MONITOR 2,Watershed,Unnamed: 25
WW005,6/18/2020,14:00:00,Grab,Water,1.0,Alkalinity - 00410,28.4,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,Chloride - 00940,100.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,325_M(A): Chloride in Water by Colorimetry,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.2,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",14.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,0.5,Enterococci - 31639,2.0,MPN/100,,1.0,MPN/100,1.0,MPN/100,URIWW,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,"Nitrate + Nitrite, Dissolved - 00631",0.312,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,"Nitrogen, Ammonia Dissolved as N - 00608",0.058,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,"Nitrogen, Total (unfiltered) - 00600",0.792,mg/l,,0.015,mg/l,0.015,mg/l,URIWW,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,pH - 00400,7.7,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,"Phosphorus, Dissolved - 00666",5.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,"Phosphorus, Total - 00665",24.0,ug/l,,3.0,ug/l,3.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Composite,Water,,Secchi Depth - 00069,3.26,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,6/18/2020,14:00:00,Grab,Water,1.0,Temperature - 00011,25.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/4/2020,14:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9.6,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/4/2020,14:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.33,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/4/2020,14:30:00,Composite,Water,,Secchi Depth - 00069,2.05,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/4/2020,14:30:00,Grab,Water,1.0,Temperature - 00011,25.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/12/2020,14:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.3,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/12/2020,14:30:00,Composite,Water,,Secchi Depth - 00069,2.05,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/12/2020,14:30:00,Grab,Water,1.0,Temperature - 00011,29.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/19/2020,15:30:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",22.9,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/19/2020,15:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.2,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/19/2020,15:30:00,Composite,Water,,Secchi Depth - 00069,1.24,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/19/2020,15:30:00,Grab,Water,1.0,Temperature - 00011,28.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/29/2020,16:00:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",22.8,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/29/2020,16:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",4.25,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/29/2020,16:00:00,Composite,Water,,Secchi Depth - 00069,1.05,m,,0.1,m,0.1,m,,,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,7/29/2020,16:00:00,Grab,Water,1.0,Temperature - 00011,30.0,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,Alkalinity - 00410,39.4,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
WW005,8/8/2020,12:00:00,Grab,Water,1.0,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",53.7,ug/l,,0.1,ug/l,0.1,ug/l,URIWW,445: In-Vitro Determination of Chlorophyll,,,,,Trilogy,Blackamore Pond,Pawtuxet River,PA,Russ Chateauneuf,
