Station Name,Date of Sample,Time,Sample Type,Sample Media,Depth,Parameter,Concentration,Unit,Qualifier Code,Detection Limit,Detection Limit Unit,Detection Limit.1,Detection Limit Unit.1,Lab Name,Analytical Method Number,Sediment Particle Size,Particle Size Unit,Fish Sample Type,Fish Taxa,Comments,Monitoring location,MONITOR 1,MONITOR 2,Watershed,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
WW199,05/08/2021,10:30:00,Grab,Water,0.5,Alkalinity - 00410,58.8,mg/l,,0.1,mg/l,0.1,mg/l,URIWW,2320: Alkalinity in Water by Titration,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,Chloride - 00940,164.0,mg/l,,1.0,mg/l,1.0,mg/l,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.1,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,Dissolved Oxygen - 00300,7.9,mg/l,,0.0,mg/l,0.0,mg/l,URIWW,4500-O-C: Total Dissolved Oxygen by Titration- Azide Modification,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,Enterococci - 31639,10.2,MPN/100,,2.0,MPN/100,2.0,MPN/100,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.007,mg/L,U,0.015,mg/L,0.015,mg/L,URIWW,4500-NO3(F): Nitrate in Water- Automated Cadmium Reduction,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.052,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,4500-NH3(G): Ammonia in Water Using Automated Phenate Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,"Nitrogen, Total (unfiltered) - 00600",2.247,mg/L,,0.015,mg/L,0.015,mg/L,URIWW,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,pH - 00400,8.0,S.U.,,1.0,S.U.,1.0,S.U.,URIWW,4500-H: pH in Water,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,"Phosphorus, Dissolved - 00666",16.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,"Phosphorus, Total - 00665",172.0,ug/l,,4.0,ug/l,4.0,ug/l,URIWW,4500-P-F: Phosphorus in Water by Colorimetry- Automated Ascorbic Acid Method,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Composite,Water,,Secchi Depth - 00069,0.38,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.1,Temperature - 00011,15.1,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/08/2021,10:30:00,Grab,Water,0.5,Temperature - 00011,14.8,C,,-35.0,C,-35.0,C,URIWW,2550: Temperature of Water by Thermometer,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
WW199,05/21/2021,9:00:00,Composite,Water,,"Depth to bottom from water surface at sampling location, meters - 82903",1.0,m,,0.1,m,0.1,m,,,,,,,,Almy Pond,Jameson Chace,,Narragansett Bay,,,,,,,,,,,,,,,,,,,,,,
