Date Range,Landsat 8,Sentinel 2
2023-11-15 to 2023-11-25,0,13
2023-10-07 to 2023-10-17,0,15
2023-07-23 to 2023-08-02,0,18
2023-07-09 to 2023-07-19,0,10
2023-07-06 to 2023-07-16,0,20
2022-10-09 to 2022-10-19,0,16
2022-08-28 to 2022-09-07,0,12
2022-07-31 to 2022-08-10,0,16
2022-07-17 to 2022-07-27,0,12
2022-06-22 to 2022-07-02,0,21
2022-06-05 to 2022-06-15,0,16
2021-10-02 to 2021-10-12,0,8
2021-09-25 to 2021-10-05,0,18
2021-08-29 to 2021-09-08,0,14
2021-08-01 to 2021-08-11,0,9
2021-07-18 to 2021-07-28,0,17
2021-07-08 to 2021-07-18,0,5
2021-06-23 to 2021-07-03,0,8
2020-10-14 to 2020-10-24,0,9
2020-09-23 to 2020-10-03,0,15
2020-09-05 to 2020-09-15,0,10
2020-08-30 to 2020-09-09,0,18
2020-08-16 to 2020-08-26,0,9
2020-07-11 to 2020-07-21,0,19
2020-07-03 to 2020-07-13,0,16
2020-06-19 to 2020-06-29,0,20
2019-08-11 to 2019-08-21,0,12
2019-08-04 to 2019-08-14,0,10
2019-07-05 to 2019-07-15,0,23
2018-09-05 to 2018-09-15,0,7
2018-08-26 to 2018-09-05,0,22
2018-08-12 to 2018-08-22,0,7
2018-08-05 to 2018-08-15,0,13
2018-07-20 to 2018-07-30,0,13
2018-06-22 to 2018-07-02,0,11
2017-09-22 to 2017-10-02,0,3
2017-09-07 to 2017-09-17,0,6
2017-08-13 to 2017-08-23,0,6
2017-07-26 to 2017-08-05,0,4
2017-07-19 to 2017-07-29,0,0
2017-07-16 to 2017-07-26,0,3
2016-09-11 to 2016-09-21,0,12
2016-08-20 to 2016-08-30,0,12
2016-04-11 to 2016-04-21,0,6
2015-08-13 to 2015-08-23,0,12
2015-07-18 to 2015-07-28,0,0
2014-10-04 to 2014-10-14,0,0
2014-09-19 to 2014-09-29,0,0
2013-07-25 to 2013-08-04,0,0
2012-09-09 to 2012-09-19,0,0
2012-08-31 to 2012-09-10,0,0
2012-08-23 to 2012-09-02,0,0
2012-08-10 to 2012-08-20,0,0
2011-09-18 to 2011-09-28,0,0
